tgen_id,coh_ID,process_date,area,slide,loupe_alignment,cyt_image,hne,fastqs,
F08544,RL_hTMA3 Slide#1,070925-071125,D1,H1-GC64VB8,/home/janzules/spatial/second_run_images/HumanVisium_2025/070925-071125 hTMA3 hTMA4/alignment/F08544.json,/home/janzules/spatial/second_run_images/HumanVisium_2025/070925-071125 hTMA3 hTMA4/cytassist/CAVG10409_2025-07-10_14-21-27_RL-HTMA3-4_H1-GC64VB8_D1_tma3.tif,/home/janzules/spatial/second_run_images/HumanVisium_2025/070925-071125 hTMA3 hTMA4/hne/RL-hTMA3.tif,/home/janzules/spatial/raw_data/for_spaceranger/human/F08544,
F08545,RL_hTMA4 Slide#1,070925-071125,A1,H1-GC64VB8,/home/janzules/spatial/second_run_images/HumanVisium_2025/070925-071125 hTMA3 hTMA4/alignment/F08545_old.json,/home/janzules/spatial/second_run_images/HumanVisium_2025/070925-071125 hTMA3 hTMA4/cytassist/CAVG10409_2025-07-10_14-21-27_RL-HTMA3-4_H1-GC64VB8_A1_tma4.tif,/home/janzules/spatial/second_run_images/HumanVisium_2025/070925-071125 hTMA3 hTMA4/hne/RL-hTMA4.tif,/home/janzules/spatial/raw_data/for_spaceranger/human/F08545,
F08546,RL_hTMA5 Slide#1,071625-071925,D1,H1-Z62R4WK,/home/janzules/spatial/second_run_images/HumanVisium_2025/071625-071825 hTMA5 hTMA6/alignment/F08546.json,/home/janzules/spatial/second_run_images/HumanVisium_2025/071625-071825 hTMA5 hTMA6/cytassist/CAVG10409_2025-07-17_13-54-46_2025-07-17_13-16-13_H1-Z62R4WK_D1_hTMA5.tif,/home/janzules/spatial/second_run_images/HumanVisium_2025/071625-071825 hTMA5 hTMA6/hne/hTMA5.tif,/home/janzules/spatial/raw_data/for_spaceranger/human/F08546,
F08547,RL_hTMA6 Slide#1,071625-071925,A1,H1-Z62R4WK,/home/janzules/spatial/second_run_images/HumanVisium_2025/071625-071825 hTMA5 hTMA6/alignment/F08547.json,/home/janzules/spatial/second_run_images/HumanVisium_2025/071625-071825 hTMA5 hTMA6/cytassist/CAVG10409_2025-07-17_13-54-46_2025-07-17_13-16-13_H1-Z62R4WK_A1_hTMA6.tif,/home/janzules/spatial/second_run_images/HumanVisium_2025/071625-071825 hTMA5 hTMA6/hne/hTMA6.tif,/home/janzules/spatial/raw_data/for_spaceranger/human/F08547,
F08548,RL_hTMA1 Slide#1,072325-081825,D1,H1-6RG9TY7,/home/janzules/spatial/second_run_images/HumanVisium_2025/072325-072525 hTMA1 hTMA2/alignment/F08548.json,/home/janzules/spatial/second_run_images/HumanVisium_2025/072325-072525 hTMA1 hTMA2/cytassist/CAVG10409_2025-07-24_14-43-06_072425RL-hTMA1-hTMA2_H1-6RG9TY7_D1_hTMA1.tif,/home/janzules/spatial/second_run_images/HumanVisium_2025/072325-072525 hTMA1 hTMA2/hne/RL-hTMA1.tif,/home/janzules/spatial/raw_data/for_spaceranger/human/F08548,
F08549,RL_hTMA2 Slide#1,072325-081825,A1,H1-6RG9TY7,/home/janzules/spatial/second_run_images/HumanVisium_2025/072325-072525 hTMA1 hTMA2/alignment/F08549.json,/home/janzules/spatial/second_run_images/HumanVisium_2025/072325-072525 hTMA1 hTMA2/cytassist/CAVG10409_2025-07-24_14-43-06_072425RL-hTMA1-hTMA2_H1-6RG9TY7_A1_hTMA2.tif,/home/janzules/spatial/second_run_images/HumanVisium_2025/072325-072525 hTMA1 hTMA2/hne/RL-hTMA2.tif,/home/janzules/spatial/raw_data/for_spaceranger/human/F08549,
F08545_auto,RL_hTMA4 Slide#1,070925-071125,A1,H1-GC64VB8,/home/janzules/spatial/second_run_images/HumanVisium_2025/070925-071125 hTMA3 hTMA4/alignment/F08545.json,/home/janzules/spatial/second_run_images/HumanVisium_2025/070925-071125 hTMA3 hTMA4/cytassist/CAVG10409_2025-07-10_14-21-27_RL-HTMA3-4_H1-GC64VB8_A1_tma4.tif,/home/janzules/spatial/second_run_images/HumanVisium_2025/070925-071125 hTMA3 hTMA4/hne/RL-hTMA4.tif,/home/janzules/spatial/raw_data/for_spaceranger/human/F08545,
F08545_manual,RL_hTMA4 Slide#1,070925-071125,A1,H1-GC64VB8,/home/janzules/spatial/second_run_images/HumanVisium_2025/070925-071125 hTMA3 hTMA4/alignment/F08545_manual.json,/home/janzules/spatial/second_run_images/HumanVisium_2025/070925-071125 hTMA3 hTMA4/cytassist/CAVG10409_2025-07-10_14-21-27_RL-HTMA3-4_H1-GC64VB8_A1_tma4.tif,/home/janzules/spatial/second_run_images/HumanVisium_2025/070925-071125 hTMA3 hTMA4/hne/RL-hTMA4.tif,/home/janzules/spatial/raw_data/for_spaceranger/human/F08545,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
